Time,j1,j2,j3,j4,j5,j6,X,Y,Z
0,0,0,0,0,0,0,0.431800000631427,-0.129539999234082,1.05565900023251
0.101010101010101,-0.0158666295635848,-0.0105777530423899,0.0105777530423899,0.00528887652119494,0.0105777530423899,0.0158666295635848,0.429666218464612,-0.136374233667607,1.0510916116555
0.202020202020202,-0.0317332591271696,-0.0211555060847798,0.0211555060847798,0.0105777530423899,0.0211555060847798,0.0317332591271696,0.427375996152933,-0.143171837387584,1.04652473411356
0.303030303030303,-0.0475998886907544,-0.0317332591271696,0.0317332591271696,0.0158666295635848,0.0317332591271696,0.0475998886907544,0.42493000954086,-0.149928801683636,1.04195887858464
0.404040404040404,-0.0634665182543393,-0.0423110121695595,0.0423110121695595,0.0211555060847798,0.0423110121695595,0.0634665182543393,0.422329039802534,-0.156641131633489,1.03739455593234
0.505050505050505,-0.0793331478179241,-0.0528887652119494,0.0528887652119494,0.0264443826059747,0.0528887652119494,0.0793331478179241,0.419573973127177,-0.163304848884222,1.03283227684874
0.606060606060606,-0.0951997773815089,-0.0634665182543393,0.0634665182543393,0.0317332591271696,0.0634665182543393,0.0951997773815089,0.416665800331007,-0.169915994425602,1.02827255179728
0.707070707070707,-0.111066406945094,-0.0740442712967291,0.0740442712967291,0.0370221356483646,0.0740442712967291,0.111066406945094,0.413605616395869,-0.176470631353567,1.02371589095563
0.808080808080808,-0.126933036508679,-0.084622024339119,0.084622024339119,0.0423110121695595,0.084622024339119,0.126933036508679,0.410394619934859,-0.182964847621907,1.01916280415863
0.909090909090909,-0.142799666072263,-0.0951997773815089,0.0951997773815089,0.0475998886907544,0.0951997773815089,0.142799666072263,0.407034112585231,-0.189394758780235,1.0146138008412
1.01010101010101,-0.158666295635848,-0.105777530423899,0.105777530423899,0.0528887652119494,0.105777530423899,0.158666295635848,0.403525498328982,-0.195756510696311,1.01006938998138
1.11111111111111,-0.174532925199433,-0.116355283466289,0.116355283466289,0.0581776417331443,0.116355283466289,0.174532925199433,0.399870282741513,-0.202046282260812,1.00553008004338
1.21212121212121,-0.190399554763018,-0.126933036508679,0.126933036508679,0.0634665182543393,0.126933036508679,0.190399554763018,0.396070072168842,-0.208260288072656,1.00099637892066
1.31313131313131,-0.206266184326603,-0.137510789551068,0.137510789551068,0.0687553947755342,0.137510789551068,0.206266184326603,0.392126572833882,-0.214394781102992,0.996468793879142
1.41414141414141,-0.222132813890187,-0.148088542593458,0.148088542593458,0.0740442712967291,0.148088542593458,0.222132813890187,0.388041589872355,-0.220446055335978,0.991947831500417
1.51515151515152,-0.237999443453772,-0.158666295635848,0.158666295635848,0.0793331478179241,0.158666295635848,0.237999443453772,0.38381702629896,-0.226410448384499,0.987433997625091
1.61616161616162,-0.253866073017357,-0.169244048678238,0.169244048678238,0.084622024339119,0.169244048678238,0.253866073017357,0.379454881904457,-0.232284344078976,0.982927797296171
1.71717171717172,-0.269732702580942,-0.179821801720628,0.179821801720628,0.0899109008603139,0.179821801720628,0.269732702580942,0.374957252084375,-0.238064175027454,0.978429734702567
1.81818181818182,-0.285599332144527,-0.190399554763018,0.190399554763018,0.0951997773815089,0.190399554763018,0.285599332144527,0.370326326600132,-0.243746425145157,0.973940313122675
1.91919191919192,-0.301465961708111,-0.200977307805408,0.200977307805408,0.100488653902704,0.200977307805408,0.301465961708111,0.365564388273336,-0.249327632151734,0.969460034868064
2.02020202020202,-0.317332591271696,-0.211555060847797,0.211555060847797,0.105777530423899,0.211555060847797,0.317332591271696,0.360673811614167,-0.254804390034431,0.964989401227281
2.12121212121212,-0.333199220835281,-0.222132813890187,0.222132813890187,0.111066406945094,0.222132813890187,0.333199220835281,0.355657061384705,-0.260173351475457,0.960528912409756
2.22222222222222,-0.349065850398866,-0.232710566932577,0.232710566932577,0.116355283466289,0.232710566932577,0.349065850398866,0.350516691098184,-0.265431230241817,0.956079067489836
2.32323232323232,-0.364932479962451,-0.243288319974967,0.243288319974967,0.121644159987484,0.243288319974967,0.364932479962451,0.34525534145514,-0.270574803535945,0.951640364350947
2.42424242424242,-0.380799109526036,-0.253866073017357,0.253866073017357,0.126933036508679,0.253866073017357,0.380799109526036,0.339875738717515,-0.275600914305455,0.947213299629885
2.52525252525253,-0.39666573908962,-0.264443826059747,0.264443826059747,0.132221913029873,0.264443826059747,0.39666573908962,0.334380693021774,-0.280506473510388,0.94279836866125
2.62626262626263,-0.412532368653205,-0.275021579102137,0.275021579102137,0.137510789551068,0.275021579102137,0.412532368653205,0.328773096632184,-0.285288462346344,0.938396065422021
2.72727272727273,-0.42839899821679,-0.285599332144527,0.285599332144527,0.142799666072263,0.285599332144527,0.42839899821679,0.323055922135406,-0.289943934421928,0.93400688247629
2.82828282828283,-0.444265627780375,-0.296177085186916,0.296177085186916,0.148088542593458,0.296177085186916,0.444265627780375,0.317232220577612,-0.29447001788896,0.929631310920147
2.92929292929293,-0.46013225734396,-0.306754838229306,0.306754838229306,0.153377419114653,0.306754838229306,0.46013225734396,0.311305119545379,-0.29886391752395,0.925269840326734
3.03030303030303,-0.475998886907544,-0.317332591271696,0.317332591271696,0.158666295635848,0.317332591271696,0.475998886907544,0.305277821191651,-0.303122916759335,0.920922958691468
3.13131313131313,-0.491865516471129,-0.327910344314086,0.327910344314086,0.163955172157043,0.327910344314086,0.491865516471129,0.299153600208083,-0.307244379663066,0.916591152377436
3.23232323232323,-0.507732146034714,-0.338488097356476,0.338488097356476,0.169244048678238,0.338488097356476,0.507732146034714,0.292935801745154,-0.311225752865104,0.912274906060985
